"name","comment","date","rating"
"evil_dog","It's very curious how this movie was just the basics of feminism, through the lens of what scares society the most : if roles were reversed. My main thought throughout the movie was ""but... Equity? Exists? Is achievable?"" Also, why was feminism actually explained. to. a. man... As if feminism is taught by women?? What I said : just the basics of feminism. And very diluted to be accepted by as many people as possible. Sometimes I think it's too…","31 Jan 2024",3
"Deadboy42","Question is, was Margot was robbed of the nom because she didn't allow the three-way beach off?","03 Jan 2024",4
"samiilp","fui a verla con tantas expectativas para q se me hiciera un poco lenta pero el final 10/10el cine re lleno q estaba","31 Jan 2024",3
"jhcchun","Had substance but needed more substance. Still cried.","31 Jan 2024",3
"arilw","Erkeklere mal gibi tek cozumun esitlik oldugunu anlatmis","31 Jan 2024",4
"twinklesonggg","Hi barbie!Hi barbie!Hi barbie!","31 Jan 2024",5
"ahsokaskywalker","Regardless of its superficial take on the patriarchy and women's struggles, Greta managed to scratch that emotional spot in every woman by her marvelous portayal of childhood, girlhood and motherhood. What I would consider as a catch in this movie is the accurate representation of the mother-daughter relationship cycle.However this movie did not deserve a nomination. Greta and Margot on the other hand deserved it but were unfortunately not nominated. Normally the academy tends to overlook comedy roles, but…","31 Jan 2024",4
"wXmelekXw","feminist movie xoxo🎀🎀","31 Jan 2024",3
"Vane Casillas","Increíble, una película que personifica muy bien los problemas sociales que pueden tener las mujeres","31 Jan 2024",4
"b0toxdenkirk","I mean okay this was a cute little pretty pink pop cultural phenomenon that as someone who is a recovering NLOG I couldn't really understand the hype for. Whatever, it's having fun. But all the debates about if this movie was feminist or whatever, or all the messaging in the movie, just ring hollow because I mean...it's a doll commercial. It's a commercial for $8 hunks of plastic that are played with for 2 months and then rot in landfills...why…","31 Jan 2024",3
"geggerz","The hypocrisy of capitalist feminism.","31 Jan 2024",3
"Allehsa Benvindo","Actors & cinematography was great though!","31 Jan 2024",3
NA,"why did this make me cry",NA,NA
"princesstears","Michael Cera num filme da Barbie foi sempre o q eu precisava","31 Jan 2024",5
"garitabonita","It feels like a big warm hug, automatically my new comfort movie","31 Jan 2024",5
"LupadeCrema","La estética es un 10 y el desarrollo de la trama acompaña sin hacer agua. Va a ser un clásico ATP","31 Jan 2024",4
"gracie","wow i feel sooo enlightened about white cishet feminism","31 Jan 2024",4
"robbydubdub","Is Allan okay?","31 Jan 2024",4
"juia","legalzinho","31 Jan 2024",4
"Bakunn","fajne, podobalo mi sie","21 Jul 2023",4
"TrilianU","nice movie but im a guy so i cant give it 5 stars cause of the patriarchy and stuff","31 Jan 2024",5
"andrahihi","Super nice!!","",2
"musgoespanol","This movie just isn’t for me. The world they created was perfect, the messaging is good, but I’m just not interested. I watched when it first came out and then rewatched a few months later because everyone loves it so much. But it’s just not for me","15 Jan 2024",3
"lydianedaeh","I did enjoy but I do think I need to rewatch. I saw Oppenheimer first and I think I was still going white.","31 Jan 2024",2
"iluvurin","Kinda trash","04 Dec 2023",NA
"angieyoo","me gustó mucho y no me lo esperaba, el tema del feminismo, las actuaciones, la música, l comedia que metieron. tmb la vi en el cine","31 Jan 2024",4
"Helenayye Lemonade","I think you just had to be there in the theater watching this in the summer. It hits different.","31 Jan 2024",4
"lapetitefourmi","C’est un grand NON","31 Jan 2024",1
"titoulefilm","J’adore les chevals","31 Jan 2024",3
"Caitlyn","How is a Barbie movie more about Ken? And i know Ryan Gosling is a fantastic actor but why does Ken have more of a personality than Barbie??","31 Jan 2024",3
"soph","ive never felt the need to applaud in the cinema until america ferrera finished her monologue","31 Jan 2024",5
"salsamarinada","allan soy yo","31 Jul 2023",3
"Noah","That's my Barbie!","31 Jan 2024",5
"Mariavittoria Rossi","visto a salerno con i miei amici, stavamo in seconda fila (visuale pessima) ma il film mi è piaciuto molto.","31 Jan 2024",3
"karl","america ferrera speech!!!","29 Jan 2024",3
"🩷","so this is good obviously but i still dont think margot robbie or greta gerwig should be nominated for actress and director compared to the other movies released in 2023.","31 Jan 2024",4
"isabella","what i was made forrrr 😭😭😭😭","31 Jan 2024",5
"sierynrocha","I am kenough","",4
"mari mari","um marco na nossas vidas, esse filme me fez tão feliz","31 Jan 2024",5
"danananooty","enjoyable if basic","26 Jan 2024",3
"anathelegend1","Barbie is just a legend!","31 Jan 2024",4
"Aintme0","Why is everyone giving five stars! Overrated film. I like the outfits tho","31 Jan 2024",2
"yvkfjs","this movie was kenenough (and sad)","31 Jan 2024",4
"dionitro","Shoutout to Margot Robie’s chiropractor for fixing her back after carrying this masterpiece","31 Jan 2024",4
"Sharkgaming_54","Doesn't seem to matter what I doI'm always number twoNo one knows how hard I tried, oh-oh, II have feelings that I can't explainThey're drivin' me insaneAll my life been so politeBut I'll sleep alone tonight","21 Jul 2023",4
"emily","'Cause I'm just KenAnywhere else I'd be a tenIs it my destiny to live and die a life of blonde fragility?I'm just KenWhere I see love, she sees a friendWhat will it take…","31 Jan 2024",3
"OnionRing16","it was fun, expected this to be way worse based on the chronically online criticism of this. If u expected advanced feminist theory from Mattel Barbie movie idk what to tell u…go read Andrea Dworkin idk","31 Jan 2024",4
"samv44","Obvio no iba a alcanzar la duración de la peli para elaborar más la idea de Gretta, pero estuvo tierna y buenos temas reales.America no merece la nominación al Oscar, de verdad wtf","31 Jan 2024",5
"kat0214","This review may contain spoilers. I can handle the truth.","30 Jan 2024",4
NA,"the most unrealistic part was the depression barbie was watching bbc pride and prejudice not 2005",NA,NA
NA,"definitely not a movie to watch on a flight, such a poor viewing experience for such an ethereal piece of art. i still think my prior rating of 4.5 stars is correct though!!",NA,NA
"AileenLyds","So nice I saw it twice","28 Jul 2023",4
"M0R4L","Fun, colorful movie","20 Jul 2023",2
"mamertx","Had some parts that made me laugh","10 Aug 2023",3
"hashimqt","Dudes who got mad at this move 1000% hate women","01 Feb 2024",2
"shaurya_k6","Would watch again","31 Jan 2024",5
"NatAmaAvatar","Buena peli, tiene un monton de referencias al desarrollo de las barbies desde la primera que se creo lo cual me flipo, la unica queja es que siento que algunos de los temas que s etratan son bastante forzados para conseguir mas publico, pero me la pela, que nostalgia primo, (amo los outfits)","31 Jan 2024",4
"famousfrenchy","Overhyped","20 Jan 2024",4
"Imachi","it’s pink","31 Jan 2024",3
"bruno","El vestuario, la dirección y las canciones de esta película son ASOMBROSAS. Me gustó mucho, aunque salí del cine con sensación de que me faltaba más por ver, por eso 4/5. La recomiendo al 100 y sí la volvería a ver. Me gusta mucho el mensaje destrás de esta película.","31 Jan 2024",4
"mariazinha","hilarious movie, love all the movie montages and the set design was amazing","31 Jan 2024",5
"sofi_mendez","At first I though it was going to be a silly movie about a doll who lives in a amazing world but it was so much more than that. To me it was kinda more than a movie, it was an experience, I felt this movie. It was so extraordinary to me how much I could relate to a lot of parts of this movie, like it was made for me somehow, I cried so much in the scene with…","31 Jan 2024",5
"Emilia","finalmente assisti e que filme do caralho vsf pqp","17 Dec 2023",3
NA,"Não teve um único momento que me fez repensar sobre o porquê de eu ter entrado na sessão, um dos melhores filmes de 2023.",NA,NA
NA,"I loved it so much, all of the Soundtrack its just amazing!!! Wish i could see this again for the first time",NA,NA
NA,"At what part were you supposed to cry?",NA,NA
"rubentimmerman","Easily the most overrated film of 2023. Some nice production design, solid performances from Barbie and Ken, and a few genuinely funny moments. Unfortunately, none of this makes up for the tacky and contrived writing, truly shameless product placement, questionable politics (is this actually a feminist film?), and the most insufferable fans. I really don’t get the Greta-hype. There are so many far more talented female directors.","04 Nov 2023",2
"Mirsad","(This should probably be three stars, but cutting to a Chevy car ad halfway into your film automatically drops it to two).","31 Jan 2024",0
"Caden","Preloše, pogotovo samo bioskop iskustvo","31 Jan 2024",4
"Lovely lady","This review may contain spoilers. I can handle the truth.","08 Sep 2023",4
"beril su","*Ken gets gifted Ken’s mink*“We were only fighting because we didn’t know who we were.”","",4
"Luizaarrud_","So true Ken.","31 Jan 2024",5
"yoonkenn","“Mr. Mattel-““Please. Call me mother.”“No thank you…”","31 Jan 2024",5
"Maddie :)","Barbie rules and I have just an eensy weensy issue w the car commercial and the ending and the accountability for some people. But this was the most important movie of the year/ arguably since Moonlight and it rules hard!","29 Jul 2023",5
"MNICO42","🩷🩷(idk what to say but the film was goooood)","",2
"sarasfdez","barbie'nin yaşadığı varoluşsal sancı oldukça gerçekçiydi. çok fazla pembe vardı, bir tık rahatsız edici. ve evet, he's just ken!!!","31 Jan 2024",4
"theCharissa","“Take my hand, close your eyes, now fEEL”O jeito que feel é falado tão forte me faz pensar muito","31 Jan 2024",5
"bainvfx","Womanhood, sisterhood, childhood, girlhoodAmei","31 Jan 2024",2
NA,"be a woman it’s so scary sometime but we have each other so that’s comforting",NA,NA
NA,"I loved this film so much! As I was watching it, I felt like a kid again and I was so happy to watch it again. This film healed something in me that I am so grateful for! One of the things that this film made me realise was that I will always be grateful for the women in my life and women who were in my life, no matter what! A true comfort! And every time I watched it, I cried. Greta Gerwig, you are truly amazing and one of my faves!!!!!",NA,NA
NA,"Pro:Piedi 🥵Contro:Poco screen time Dua Lipa 😡",NA,NA
NA,"La lagrimilla inesperada al final de la peli >>>>",NA,NA
NA,"Such a beautiful and well done film. Shows us why the world still needs feminisme 101. Gerwig's work is incredible as always.",NA,NA
NA,"Started well, and is definitely unusual in it’s subject matter… but it meandered and became moralistic as so many US based movies have a tendency to do. So not one to rewatch for me.",NA,NA
"tateheft87","Shoutout Barbie","31 Jan 2024",3
"howzyk","esse filme tem referencia ao poderoso chefão, á 2001: uma odsséia no espaço e é divertido pra caramba, fantástico","31 Jan 2024",4
"pantufaaaa","im kenough","31 Jan 2024",3
"AbelPires","I feel this movie is important. It is important to have blockbusters with female leads and to speak of the feminine experience. And yet, as a piece of feminist media it is far worse than its contemporary poor things and other films its director like Frances ha. I loved Issa Rae in this (as I love her in everything), another great feminist writer/director. And again I feel the need to compare this to her work, insecure. It is important for…","31 Jan 2024",3
"nataliexf","upon rewatch I actually enjoyed the movie more probably bc the first time was so burdened by hype and attempting to follow the plot while suspending disbelief","31 Jan 2024",3
"anyacky","the oscars snub discourse around this movie is out of hand in both directions like I don't think it's a work of Feminist Art nor do I think it's worth the effort of deriding it for being too surface level ""progressive"" like it's literally a giant ad for a toy produced by mattel!…","31 Jan 2024",5
"samraimi56","Poxa essa filme é tão lindo, tão profundo 😭😭 ser mulher é jogar no hard e isso foi comprovado na PREMIAACAO QUANDO AQUELE BOBOCA FALOU QUE BARBIE É SO BEITO E BUNDA!Tá aí todo o pinto do filme: mulheres são demais amo mulheresAssisti 4 vezes E ASSISTIRIA DNV","31 Jan 2024",3
"fragile_toad","pues a mi me gusta el patriarcado de hombres y caballos.","13 Aug 2023",4
"𐙚","This review may contain spoilers. I can handle the truth.","31 Jan 2024",5
"chaz","自己蠻喜歡ㄉ，我很吃他的美術、造型跟OST雖然我覺得講得蠻教條式的，有些生硬，而且在一些重要的人物轉變（比如女兒、肯尼）上也轉很硬，但我還是很喜歡他很直接地討論女性主義，因為在這個父權體制根深蒂固到連我們都不自知的社會中，就是需要這麼生猛直接的主張（？","31 Jan 2024",5
"h1wawk","而且雖然他演的不是說完全的正面角色，但看完超想跟萊恩葛斯林交往…","31 Jan 2024",1
"nicolasganem","其實真的沒什麼特別的心得ㄌ，可能是因為它講得已經很清楚了 ，再看不懂的話也沒辦法🤷‍♀️我滿喜歡在芭比樂園中的權力關係與現實反轉的處境：肯尼的不舒服就是現實中「傳統」女性的不舒服ㄚ！（想不到更好的形容甚至這個情況在最後肯尼想要當官時 這個處境也是一樣（壞芭比可以自由選擇官位 但肯尼要再進行多年改革）而且美泰兒的上級是一群心底歧視女性但嘴上說都是為了「小女孩的快樂」的中年白癡男人 這個男人還會自稱教母，恆？？？真是有趣","31 Jan 2024",3
NA,"然後我蠻喜歡裡面的戰歌和肯尼內戰那段看的時候真的忍不住一直笑很會嘴一些好萊塢電影，席維斯史特龍一出來快笑死",NA,NA
NA,"has enough time passed to say i think it was just oka—[GUNSHOT]",NA,NA
NA,"i wish my mom liked me",NA,NA
NA,"if i speak",NA,NA
NA,"So literal. It’s good but not enough for me.",NA,NA
"MagnusMK","Meget hyggeligPlottet var ikke vildt henrivende, men det der sad tilbage var også mest beskeden den ville sende ud. Kan godt lide hvordan de viste modsætningen mellem Margot Robbie og Ryan Goslings kulturshock ved at se den rigtige verden ift. den de er fra.Var dog lidt ligeglad med hele delen mellem moren og hendes datter vs. de der business folk. Har svært ved at huske hvorfor de var vigtige udover til sidst. Det var lidt unødvendigt med sådan et action-stykke tror jeg.","31 Jan 2024",4
"krissygirl","I loved the part where Ken made an appearance","31 Jan 2024",3
"George","Kenough now","31 Jan 2024",4
"MiniRags","This movie is fun, just not for me","22 Nov 2023",2
"curvyandhumped","feminism.","31 Jan 2024",5
"biaaakao","Barbie é tudo amo muito","31 Jan 2024",5
"redscream666","Not the target audience. My wife saw this at the theaters and loved it, so wanted me to watch with her. The 2001 opening was clever enough. Once they leave Barbie land I quickly got bored. My daughters werenever really fans of Barbie. My oldest use to remove their heads and duct tape them to the garage floor. She also carried around a small jewelry box that contained the disintegrating body of a large beetle. My other daughter would ""do"" Barbie's makeup with markers and cut off their hair.","31 Jan 2024",2
"skeiller10","Enjoyed. Music was good and made me laugh.","31 Jan 2024",4
"Maria Isa","🌟Mojo dojo casa house🌟","21 Jul 2023",3
"jakemarventano","Good movie, great soundtrack, go Margot Robbie","31 Jan 2024",3
"Carla 🧁 There Might Be Cupcakes Podcast","Showed this to Mom and Dad (finally) for Mom’s birthday. As predicted, they loved it. My 78 year old father wants a ✨I Am Kenough✨ sweatshirt, and he shall have one, by God. Cutting Mom’s cake, he was singing, “🎶I’m just Ken🎶”. That’s going to happen all week. Happy birthday, Mom.","31 Jan 2024",5
"Cristina","such a cultural reset. everything about it was beautiful and meaningful. funny how even put into the most simple terms, men STILL don't get it.","31 Jan 2024",4
"ViniMovie","É um filme divertido e animado, tem seu lado reflexivo, mas vc se diverte bastante assistindo. as músicas são o ponto alto do filme, todas são mt boas","31 Jan 2024",4
"m4riaval3ntina","feminismo liberal escancarado, mas muito bom","31 Jan 2024",4
"peps_jb","greta is my idol. and where's her oscar? hmm?","31 Jan 2024",5
"aheaney15","It’s honestly just as good as I remember it. Every nomination, with one exception I’ll get to, is well-deserved. My old review mostly holds up, except I’d like to make an amendment that this isn’t my favorite Greta Gerwig movie. Honestly, it might be her weakest to me, but that’s more her other two films growing on me than this film getting worse.","31 Jan 2024",4
"🫀","That said, America Ferrera straight up does not deserve a Supporting Actress nomination. She’s only nominated for…","31 Jan 2024",3
"Ale","hate how ym made it abt ken it’s abt BARBIE 💗💗","31 Jan 2024",5
"Kozume_isa","Me gusta como retrata la lucha de las mujeres para ganar sus derechos en el siglo XXD, vemos a barbiland como un lugar totalmente diferente al mundo real, donde las mujeres derrotaron al patriarcado, fue divertido","19 Jul 2023",4
"Lafleurs","homens..kkk","31 Jan 2024",2
"favvine","""Podrían pasar cosas rarísimas en nuestro mundo.-¿Como qué?Cosas que no existirían ni en nuestra imaginación.-Un pódcast conducido por dos arboles sabios"".","31 Jan 2024",1
"gabyy___","Volviéndola a ver pasado ya el Boom que fue de total endiosamiento o odio incontrolado hacía esta película puedo decir que la siento tan vacía. Creo que se centra demasiado en reírse de estereotipos masculinos que en formar un buen discurso feminista. Esta bien es una comedia, pero claramente la pelicula está vendida como más que…","31 Jan 2024",4
"beawnieewwwe","Disappointing","31 Jan 2024",4
"jessdagg1","C'était un film sympa à regarder entre amies, il n'était pas compliqué à comprendre mais un peu long.","31 Jan 2024",2
NA,"I'm just ken",NA,NA
NA,"saw it dubbed in German threw me off",NA,NA
"jharris21212","this has grown on me more as I’ve rewatched!!! we need more comedies and it had so much to accomplish in one movie. wasn’t tooooo impressed with its take on feminism at first watch, but appreciated how digestible it was when I watched (he didn’t really watch it) with my conservative dad!!! some parts of it are a lil ~muddled but it saved movies and is just so damn impressive!!!! only proves there needs to be more feminist movies because one movie can’t take on every side, but maybe this is perfect for what it is. bye barbie!!!!!!!","24 Jan 2024",4
"Lén","girlhood","31 Jan 2024",5
"maryhebden","Barbie had funny moments, amazing visuals, but was predictable and America Ferrera’s monologue gave me the eh","31 Jan 2024",3
"tritri0810","Pas folichon","31 Jan 2024",3
"anama15","Women and Greta gerwig take over the world","31 Jan 2024",3
"Pelgera","A fabulous take on the disregard men have in society for women, especially considering the recent award scandals and the time and time again cynicism of Hollywood over female representation and pride; this is a loud and proud film that doesnt hide its blemishes and the ugly side of society, perfect to explain current political and social situations.","31 Jan 2024",3
"MrJJRound","I’m sorry 🧍‍♂️","17 Nov 2023",4
"maru","cuando mi mama dijo que michael cera se parecia al ex de mi hermana JADKAKAKAK pienso en ese momento todos los días","20 Jul 2023",4
"Ddiinnaaa","Even better at the second rewatch","31 Jan 2024",5
"Sy","I don't even know what to say","31 Jan 2024",4
"Emma","i don't think it's fair that barbie's sister kelly wasn't in this, she didn't dance in the nutcracker with her barbie for nothing","21 Dec 2023",4
"Lydia_with_a_C","I swear if the film responsible for a worldwide shortage of pink paint does not when an Oscar for set design....","22 Jul 2023",4
"stefcarbone","the amount of detail and passion put into this movie is amazing","23 Jul 2023",4
"memmovies","message is wonderful and even though it's simple that does not take away from its importance or relevance in the world","31 Jan 2024",5
"Milena","I think this is a movie all of us girls needed when we were younger, as the message (america's monologue in particular) was something we had all probably seen somewhere, but never on a big screen in such a powerful way","",3
"adamrichardson","and the line about mothers standing…","31 Jan 2024",3
"anaxtar","sooo amazing. shows how life truly is and how beautiful it can be!","31 Jan 2024",2
"Dreamy Reemy","here we go, I didn't have a letterbox whenthe movie came out, so l'm goingcomplain now!I just hate so much this experience! likeok, it's a nice movie to watch when u havenothing better to do, but not even close to be a great movie to get out of your house wearing pink JUST TO WATCH IT IN THE MOVIES! I get really mad when I watched, cause it's just a liberal femenist movie side by…","31 Jan 2024",5
"averyjanemiller","Weird Barbie hissing at Stereotypical Barbie is the highlight.","31 Jan 2024",3
"caiov8nicius","Bad","31 Jan 2024",4
"Natalia Assis","It's a brilliant view on the modern woman and beauty standards.","20 Jul 2023",4
"Twi99let","Cried the first 2 times I saw it and makes me think of my mommy","31 Jan 2024",3
"jackbres03","O filme é divertido, mas...","31 Jan 2024",4
"artystique","O pórem que eu queria levantar dentro dessa analise é que se Barbie, um filme popular com um teor mais feminista consegue ajudar combater a misoginia dentro da Internet? Respondendo a pergunta, eu acho que não mas com um tempero de sim, vou tentar explicar. Dentro da Internet houve muita discussão sobre essa tal feminismo inserido no filme Barbie, por um lado homens misoginos de 40 anos idade bravos por que a palavra patriarcado foi…","31 Jan 2024",NA
NA,"queria dizer que amei o filme mas foi bem tipo ok gostei...",NA,NA
NA,"am extremely entertaining and funny Mattel advertisment",NA,NA
