"name","comment","date","rating"
"Emerson Teixeira","0,5 puan kırdığım iki nokta var;","23 Jul 2023",4
"bigkahunaburge","1) godfather esprisi kötüydü. neden eklendiği hakkında hiçbir fikrim yok lakin 40 tane böyle film çeksen 1 tane godfather etmez.","23 Jul 2023",5
"grubbug","2) en sonda 15 dakika boyunca zorlama bir hikaye vardı, süreye yaysalar sıkıcı olurdu ama bu şekilde de ailen eve gelmeden hızlıca çektiğin 31 gibiydi. zevksiz. ama 2 saatlik filmin sadece 15 dakikası böyleydi.","23 Jul 2023",4
"ganhw","indie sinemaları sevin, sağımdaki alman herifin patlamış mısırı en güzel türk yemeğinden 3 kat daha iyi geldi.","23 Jul 2023",5
"sierra","Es una muy buena película, es muy divertida tiene momentos muy cagados con los ken que creo que se llevaron la película, me gustaron ciertos mensajes de la película. Pero lo que no me gustó fue que muchas de las cosas no tenían sentido y yo realmente esperaba algo con más sentido viniendo de Greta, siento que lo resolvieron todo muy apresurado, no me hubiera desagradado si alargaran un poco más la película para que resolvieron eso de una mejor manera, es una película que volvería a ver es muuuy entretenida","23 Jul 2023",4
"Pat Cahill","alan <3","23 Jul 2023",5
"liv","Ao sustentar-se completamente na industria e sistema que aprisiona e limita o debate proposto, faz-se parecer relevante para a discussão de modo que ecoe como excessivamente genial.A masturbação intelectual é tamanha, repleta de referências, os bastidores enaltecendo seus autores como quem diz: eles são tão ousados!Brancos. Ricos. Homens. A mesma coisa, mesma linguagem narrativa, realização deles no modelo acessível e com discurso tão frágil quanto a doença que a boneca-título manifesta até onde não necessariamente se materializa. Em…","23 Jul 2023",4
"2ndRules","A 'Greata Gerwig' movie! .","23 Jul 2023",4
"njk007","When that dog that shits showed up I almost teared up from happiness. It was like receiving a warm hug from an old friend, I used to play with that dog all the time","23 Jul 2023",4
"Cizkek","I really liked this whole movie, it was fun but also made me cry multiple times","23 Jul 2023",5
"misaelito","It was as if Greta Gerwig and Noah Baumbach did a Barbie rebranding campaign and excelled.","23 Jul 2023",1
"lailamac","Being a 32yo woman who used to own a dozen of Barbies growing up, I am America Ferrera as much as I see myself in Margot Robbie.","23 Jul 2023",4
"Emerson Teixeira","Playful, jubilant, empowering, and parodic, Barbie was packed with nostalgia and pop culture references, told in the language of modern feminism, fighting for equality and against the patriarchal system, and above all, self discovery and existentialism.","23 Jul 2023",5
"bigkahunaburge","I'm…","23 Jul 2023",4
"grubbug","omg i never thought i’d cry to a barbie movie. i thought i’d go in and laugh and have a good but but i left having an existential crisis. This movie perfectly describes what it is like to be a woman in the modern world. Also i would like to say to the men who are mad about this movie displaying “reverse sexism” and are mad about how neglected and ignored ken is and how powerless he is in the…","23 Jul 2023",5
"ganhw","Sublime!","23 Jul 2023",4
"sierra","absolutely Life Changing :] nothing but pure joy coming out of that cinema, such a beautiful and hilarious experience","23 Jul 2023",5
"liv","absolutely Life Changing :] nothing but pure joy coming out of that cinema, such a beautiful and hilarious experience","23 Jul 2023",5
"Marius","Schlechtester Film, den ich je gesehen habe","23 Jul 2023",0
"miserablewretch","why did Barbie apologize??!!!!??!!","23 Jul 2023",3
"kakadamoe","there was simply too much ken screentime and sympathy for my liking, the patriarchy was trivialized, there was minimal character development, muddled metaphors and core messages, it felt painfully didactic, and the self awareness only invited discussion into topics and ideas that the movie itself barely explored (to the detriment of the movie's main message)","23 Jul 2023",5
"katherine","it was like a string of events and quips that lacked direction and purpose","23 Jul 2023",5
"Sarahí","Barbie is both an idea (external) and…","23 Jul 2023",4
"vinschzen","Greta gerwig made a thesis on everyone.So everyone made Barbie blockbuster.This is History.","23 Jul 2023",4
"Amanda","film of the year. britcom fans WON. no one gets it like greta does. this has been the best day of my life","23 Jul 2023",5
"carigodasilva","I was a Bratz girl but Greta really did her thing here","23 Jul 2023",4
"Carine Noel","IM JUST A KEN.","23 Jul 2023",5
"Drewsef","(Would make a great double-feature with American Psycho)","23 Jul 2023",3
"Haley McDowell","meu deus. eu sabia que o filme ia ser assim, divertido e arrebatador de emoções, só não sabia que ia ser TANTO. te amo grega gerwig…estou triste pelos próximos 90 anos","23 Jul 2023",4
"liv","O filme é tudo que promete e muito mais. Quero deixar aqui um agradecimento à Greta Gerwig por todo cuidado e delicadeza em retratar assuntos tão reais e sólidos em um filme tão promissor e com tanta visibilidade.  A experiência de ver Barbie no cinema me deixou com um gostinho de quero mais por não conseguir ver o tempo passar enquanto assistia e ao sair da sala estar ao ponto de querer um replay pra ontem.  Barbie nos conta…","23 Jul 2023",5
"Marius","não esperava menos da greta!!!","23 Jul 2023",0
"miserablewretch","hardest credits roll","23 Jul 2023",3
"kakadamoe","Girlboss went a little too close to home","23 Jul 2023",5
"Carine Noel","não esperava menos da greta!!!","23 Jul 2023",5
"Drewsef","hardest credits roll","23 Jul 2023",3
"Haley McDowell","Girlboss went a little too close to home","23 Jul 2023",4
"annabagfra","This is probably Ryan Goslings best role so far ngl","23 Jul 2023",2
"Lenny/Valerian Valla Compan","Hail Barbie fuck patriarchy","23 Jul 2023",4
"Luca Heurs","A lot of fun, colors, beautiful setpieces, joyful and loud. Paired with amazing performances, topped by genius Ryan Gosling. Rarely subtle, always telling you exactly what they want to tell you. Sometimes that works, sometimes it was a tant too much explaining. Always trying to evade the style over substance tag. And while I really liked Geriwgs take on the Barbie theme I (personally) wouldn’t have minded a little more style and a lot more subtly in the substance.","23 Jul 2023",4
"beril","Breaking the fourth wall is something I am not a fan of but luckily they did it less than I feared. But that 2001 prelude?!!?? Magical. Iconic.","23 Jul 2023",4
"j","KADINLAR COK GUZEL VARLIKLAR INANILMAZ GERCEKTEN","23 Jul 2023",3
"nikki m.","Barbie is packed with a ton of genuinely moving moments, very fun gags and some clever satire.","23 Jul 2023",5
"Brendan Nolte","I mean really, truly packed though, like when you get an overenthusiastic young'un at Tortilla and they ram so much filling into your burrito that they struggle to wrap it up nicely.","22 Jul 2023",5
"Queefy","The plot holding Barbie's overfull burrito together may be lumpy, bumpy and stretched thin, but the ingredients within are so tasty that I didn't mind too much at all. I'd eat it again!","23 Jul 2023",4
"Livi","midge & alan combining together for a joint slay 🤞","23 Jul 2023",4
"Carine Noel","I have friends that are Jewish","23 Jul 2023",5
"Drewsef","🦅🦅🦅🦅🦅🦅🦅🇺🇸🇺🇸🦅🦅🚨🚨🚨🦅🦅🚨🦅","23 Jul 2023",3
"Haley McDowell","I just couldn’t stop myself from crying. It was so beautiful and such a beautiful and slightly painful representation of life as a woman. I laughed and cried and came out appreciating all the woman in my life and a tiny bit more excited to get older","23 Jul 2023",4
"Bronwyn","Perfect.","23 Jul 2023",5
"gqbbysabby","cunt cunt cunt cunt cunt cunt count cumy count cumt tximt crin cute cunt cunt cumt","23 Jul 2023",5
"Georgieporgie","America Ferrera’s monologue about womanhood, Greta Gerwig the woman that you are.","23 Jul 2023",5
"Rem","Tax evasion","23 Jul 2023",4
"GlazeDoughnut","Horses ain’t that cool tbh","23 Jul 2023",3
"elise mooradian","didn’t think barbie would be such a tearjerker","23 Jul 2023",5
"viaearth","starting a petition to make patriarchy all about horses","22 Jul 2023",4
"Gwendalynnn","""To be honest, when I found out the patriarchy wasn't about horese I lost interest anyway.""","21 Jul 2023",4
"batmantiger24","My friend whispers ""He's just like my first girlfriend""","23 Jul 2023",3
"kai","I cant even begin to unpack that","21 Jul 2023",5
"Agassi wonder!","feminism","23 Jul 2023",5
"aly 💀 ravenous","im just ken ⁠♡","23 Jul 2023",5
"Bronwyn","Nolan words only , Don’t try to understand it. Just feel it.","23 Jul 2023",5
"gqbbysabby","Human have only one ending, ideas live forever.","23 Jul 2023",5
"Georgieporgie","Whew this sure is gonna be one of those movies that makes me openly weep upon rewatches","23 Jul 2023",5
"aly 💀 ravenous","Whew this sure is gonna be one of those movies that makes me openly weep upon rewatches","23 Jul 2023",5
"Michelle Sheehan","This was such a fun, important movie and I loved every minute of it! Can’t wait to see it again.","22 Jul 2023",5
"camis21","This movie was so incredibly good. Watching this movie especially as woman was so powerful. It made me almost snap back into a reality of loving and appreciating women again. I feel like in the world we live in today women are always competing against one another, especially for a man’s appeal. This movie was so eye opening in so many ways. I think it’s a movie for everyone. for everyone to see how it is being a woman in this world. It just really made me appreciate being a woman, and it impacted my life so deeply. Truly a movie everyone should watch.","23 Jul 2023",5
"emnoelleking","everything leading up to this film was ✨magical✨ and the fact I FINALLY had my 💕👛 💅🏻era - the anticipation was i n t e n s e. And sitting in the theater watching 💕👛💅🏻🌸Barbie💕🌸👛💅🏻 come to life, that was almost a religious experience. Couldn’t keep my eyes off Margot, Ryan carried this movie on his back, Micheal Cera gave everything we needed. Even Miss Penelope Featherington was the moment.","23 Jul 2023",5
"Jaiden Dosani","Now, we’re not gonna talk about it’s faults because they…","22 Jul 2023",3
"nərgiz","Ehhhh okay I was really excited and even dressed up for this but tbh it was kinda dumb. Which isn’t really a bad thing, nothing wrong with being a crowdpleaser. And the crowd I saw it with was definitely pleased! But coming off the heels of Lady Bird and Little Women’s complex portrayals of womanhood, this was just kinda both on the nose and pretty shallow as far as the exploration of what its going for","23 Jul 2023",4
"maggiepili","The first twenty minutes…","23 Jul 2023",5
"Matthew Bridges","its good but it made me horribly depressed about living on earth also it was probably a mistake watching it in baku","22 Jul 2023",4
"sara","Yes, I watched it again already - with my mum this time. Sobbed even harder. Men will never quite get it the way we do.","23 Jul 2023",4
"garlic_bread13","While I was most definitely not the ""target audience"" (I am a sad and boring 20-something year old grown man), I still really enjoyed this film! I was not expecting the Barbie movie to tackle such serious subject matter, but it did so in a really funny and self aware kind of way (which is shocking given the fact that Mattel was involved with this movie's production). The actors did great, Margot Robbie and Ryan Gosling killed their lead roles…","23 Jul 2023",4
"Enx_1711","my favorite jokes were the sample of butterfly by crazy town and the horse lamp","22 Jul 2023",4
"amgoldie","Ken is a bimbo","23 Jul 2023",5
"aly 💀 ravenous","Ken is so cowboy like me by Taylor Swift coded","23 Jul 2023",5
"Michelle Sheehan","did this pass the Bechdel test??","22 Jul 2023",5
"Malu Muryō","Melhor filme da década, simplesmente Greta e Margot babilônicas!!!!! Agora faço parte do culto de amor a barbie","20 Jul 2023",5
"esh_2001","Ken losing his mind over barbie simply acknowledging his existence was real af","23 Jul 2023",4
"✰carole✰","depression barbie is actually me","21 Jul 2023",5
"macaroni3","Im just like Ken fr. I'm sorry women","23 Jul 2023",4
"Sébastien Kortum","I’m just Ken and I’m enough","23 Jul 2023",5
"Malayna Ellis","This movie healed my inner child 💜","23 Jul 2023",5
"acary","its feminism fell short/rang false in ways i dont think were intentional, which is disappointing because a movie with this IP and immediate icon status should have put forward something truly radical","22 Jul 2023",4
"Geneva","HOWEVER. this movie brought joy indescribable. the most fun i’ve ever had in theaters and it made me cry many times 💗","23 Jul 2023",5
"kd","a theater at 10am full of girls dressed in pink holding at least five things in each hand this is truly how film should be experienced","24 Jul 2023",3
"Connor","This review may contain spoilers. I can handle the truth.","23 Jul 2023",5
"cangurito","“note to film makers: margot robbie is not the right person to cast to make this point” after barbie says she’s not pretty. 5 STARS IMMEDIATELY","23 Jul 2023",5
"iasensio","where tf was zac efron","23 Jul 2023",4
"Malu Muryō","Greta Gerwig basada","20 Jul 2023",5
"esh_2001","ryan gosling te amo","23 Jul 2023",4
"alinedays","I can't believe I'm alive to witness this","23 Jul 2023",5
"HB","The most important messages going on here. I wish I had this movie all my life.","23 Jul 2023",5
"travis","movie fails miserably at being subversive or coherent or meaningful in all of its snide and snarky ironies. just absolutely bankrupt of integrity trying to put a bunch of jokes and twittery quips about Mattel itself, capitalism, profiteering, patriarchy, the omnipresence of brand and IP in movies and beyond, etc. while simultaneously being the movie that rebuilds a mythos around this company for a new generation of consumers, and re-immerses the public with this company. it’s an advertisement that was…","20 Jul 2023",5
"VanS18","My inner 8 year old self never believed the movie would be this good","23 Jul 2023",5
"Tanner Neslen","I need ryan gosling to live.","23 Jul 2023",4
"alliaya","i love allan","23 Jul 2023",4
"João Vitor Ribeiro","Barbie is a visually dazzling comedy whose meta humor is smartly complemented by subversive storytelling.","23 Jul 2023",4
"Brendan_film","I only hope I am kenough","22 Jul 2023",5
"Bia Ribeiro","o roteiro, as atuações, as referências, as críticas, as piadas... tudo muito bem encaixado. as tiradas com a Mattel são engraçadíssimas, os cenários são lindos, o monólogo da America Ferrera é enérgico.","22 Jul 2023",3
"Lmfaoskie","além disso, todo o existencialismo: a crise da Barbie esteriotipada, que sempre quis que as coisas permanecessem iguais, servindo de força motriz pra que ela percebesse que sua nova versão não cabia mais no mudo artificial que conhecera, e assumindo a responsabilidade pela descoberta do propósito da sua criação no mundo real.","22 Jul 2023",4
"MintMcCabe","realmente torço pra que, algum dia, os Kens consigam ter a mesma influência na Barbielândia que as mulheres têm no mundo real.","23 Jul 2023",5
"Joegoodoak","This review may contain spoilers. I can handle the truth.","23 Jul 2023",5
"alinedays","I mean it's alright, a bit overrated (edp ref.)","23 Jul 2023",5
"HB","Ryan gosling is the star of the show on this one","23 Jul 2023",5
"travis","Marge was quite okey too","20 Jul 2023",4
"VanS18","A most fabulous film with a most fabulous cast💗","23 Jul 2023",4
"Tanner Neslen","I’m under shock on several elements. First, Ryan Gosling is amazing! Very proud to be Canadian. Second, I went to see the movie for my kid and I was overwhelmed by the deep meaning behind the story. Really enjoy the visual.","23 Jul 2023",4
"Jules","Przynajmniej w Barbieland obalili patriarchat","22 Jul 2023",4
"emiily_crabb","No words only tears","23 Jul 2023",5
"Colin Morgan Lee","I feel like the movie's plot just gets lost halfway through. The whole Mattel side plot doesn't matter at all?? The movie is both smart and funny but I couldn't help but feel halfway through, that the movie was just waffling around before settling on what the antagonist/climax would be.","22 Jul 2023",3
"amistry","Surpassed my expectations and was laugh out loud funny. Great cinema experience","22 Jul 2023",4
"sreidy28","Yes, I watched Barbie two days in a row, and yes, I would absolutely see it again. Greta Gerwig & Margot Robbie never miss, and Ryan Gosling & America Ferrera are new faves. I love how Barbenheimer has brought people together and has made cinemas the busiest they’ve been post-pandemic (besides some of the Marvel movies I assume). This weekend will be remembered forever 💖🖤","22 Jul 2023",4
"kakin99","Because Barbie can be anything, women can be anything","23 Jul 2023",5
"hoogger","Sublime!! This movie made absolutely no logical sense and I loved it","23 Jul 2023",1
"Beans","Bir pazarlama stratejisi olarak feminizmi ve farklı erkeklik performanslarını gülünç durumlar üreterek eleştirmek isterken kendisi de gülünç duruma düşen Greta Gerwig filmi. Oppenheimer ile birlikte toplumsal cinsiyet rollerini yeniden üreterek gerçekleştirdikleri pr dönemi, filmden önce Barbie reklamları çıkması ve WB yapımı olması nedeniyle zaten beklentimiz düşüktü. Filmin ortalarına kadar da düşük beklenti ve izlediğimiz şey paralel gidiyordu. Sonra birden film kontrolden çıktı. Kadınların bundan iki asır önce savaşını vermeye başladıkları ve (birinci dünya ülkeleri için konuşacak olursak) zaten son elli…","22 Jul 2023",4
"PrimeGX25","Greatttt movie, i see people say it's just surface level but come on it's still a barbie movie!!!!","23 Jul 2023",3
"Kuking","I love how the message was so clear and outspoken, it is something most of our generation are aware off but Barbie speaks to a bigger public.","23 Jul 2023",2
"Anaelle","Barbie is so timeless that the oldies still go just for barbie and the kids also go JUST FOR BARBIE.","23 Jul 2023",4
"Alex Deeley","So what better way to talk about the patriarchy than through a barbie movie?","23 Jul 2023",5
"Jules","And it was also genuinely funny??? Like the jokes were not just cringe.","22 Jul 2023",4
"emiily_crabb","Definitely a must watch!!","23 Jul 2023",5
"Colin Morgan Lee","likely the best Barbie movie, although if Mermaidia had Ryan Gosling in it too it’d be close","22 Jul 2023",3
"amistry","Pembe.","22 Jul 2023",4
"sreidy28","Donnez-moi une anxiety Barbie au plus vite please","22 Jul 2023",4
"kakin99","5 stars, no notes. A triumph","23 Jul 2023",5
"savannah","they weren't kidding when they said she's everything","23 Jul 2023",5
"Jshmoney","Good movie","23 Jul 2023",4
"molhodeolho","o meu mundo ideal só tem meninas e cavalos","23 Jul 2023",5
"amani","(o ken mansplainer do photoshop é o stor nuno)","23 Jul 2023",4
"cityzen","mon enfance <3 (j’ai pleuré aussi)","22 Jul 2023",4
"NoahL8","I am happy to say that I was met with the expectations I had of what a Barbie movie directed by none other than Greta Gerwig would be. The film was fun, refreshing, and wholesome. Watching the movie with a motivated audience all dressed in pink enhanced the experience. The humor was definitely one of my favorite aspects of the movie as I would chuckle at almost every scene that involved the Kens. The attention to detail in the characters…","23 Jul 2023",5
"mamaramone","I'm so happy they talked about Ruth's IRS issues cause she really tried","23 Jul 2023",4
"QuidProBro","I LOVED THIS MOVIE! It was fun and funny, but also empowering.  America Ferrara was incredible, and Margot Robbie and Ryan Gossling were perfect. The visuals could not have been better. Nostalgic but also forward thinking. The diverse casting was a breath of fresh air. Hope to see it a few more times on the big screen.","23 Jul 2023",4
"thomasmagee_","Glad to see Ryan Gosling add another film to the universal ""he just like me"" watch list","22 Jul 2023",4
"lvatt","What a joy to play dress up with your friends and see a summer blockbuster in a packed theater. While Barbie didn’t check all my boxes, it did bring me that joy and an experience in a theater I haven’t had before, shared with my close friends all wearing pink.","22 Jul 2023",4
"valleyslush","Also had me thinking about the last time I played with my own toys? Do you remember? There was a time where you and your toys played for the last time and none of you knew it.","21 Jul 2023",3
"flor","they should’ve bullied ken harder","22 Jul 2023",5
"savannah","walked out with an even greater love for my mom and my gynecologist!!","23 Jul 2023",4
"Jshmoney","this is for GIRLS ONLY","23 Jul 2023",5
"flor","this is for GIRLS ONLY","22 Jul 2023",3
"alokey","michael cera made it worth watching","23 Jul 2023",3
"Ronald","I kent.","23 Jul 2023",2
"elliemcdonald7","cinematic masterpiece, i am ken","23 Jul 2023",5
"Callum Jewell","If you had of told me a gear ago that barbie would be a beautiful story of female empowerment and I'd cry at the end I'd have called you crazy! But here we are...","23 Jul 2023",4
"Htklee3","“i am kenough” is one of the greatest phrases i’ve heard in my life","23 Jul 2023",5
"maxi","MY GOD.","24 Jul 2023",5
"carson crenshaw","this movie was phenomenal, i quite literally cannot think of anything else to describe it. i love greta gerwig and the way she’s able to project her ideas into films, and i especially love that the filmmakers cast margot as barbie. she captured the very essence of her, not just the look or stereotype.","23 Jul 2023",5
"sophiabarber","that said, margot’s acting in this movie was hands down one of the best in her career. i literally cried every time barbie cried.…","23 Jul 2023",4
"paniquathedisco","oh my god","23 Jul 2023",5
"Crystal","BEST. MOVIE. EVER!!!","22 Jul 2023",4
"Nath","+ half a star for A+ viewing experience.","23 Jul 2023",3
"flor","we accidentally started the line for the next screening and got to see everyone decked out in their barbie best walking out of the theater and it was one of the greatest delights i've ever had the pleasure of experiencing and is the closest i'll ever get to a red(pink) carpet. i love that we as a species decided to collectively dress up to watch a movie about a toy. 2nd favorite gathering of pinklings in my lifetime so far.","22 Jul 2023",3
"alokey","also when margot robbie cries, the world cries with her.","23 Jul 2023",2
"Ronald","The story of being a human being in 2023. Than you.","23 Jul 2023",5
"elliemcdonald7","I dunno about you guys but I'm starting to think Greta Gerwig has a troubled relationship with her mother","23 Jul 2023",4
"Stasia","I laughed, I cried, I just can’t believe how amazing this was. It is everything the hype says.","23 Jul 2023",5
"audevn","men are stupid and i don’t respect them","23 Jul 2023",4
"sara","3 kere gözüm doldu (dans eden ryan gosling dünyayı daha iyi bir yer yapıyor)","23 Jul 2023",3
"Ashley Joyce","The plot is kind of a mess, a lot of the characters are underdeveloped, and the script did a lot of telling rather than showing. But it was also the most fun I've had at the movies in 2023! I laughed and I cried!","22 Jul 2023",5
"Pat Rivers","I’m obsessed… I went into this movie thinking that there was a good chance that I would like it but I never knew I would walk out of the theatre loving it so much… I even planned on giving this film four stars but when I woke up I couldn’t stop thinking about how much I loved it and wanted to see it again and it is a total 5 star film for me… Greta Gerwig is 3/3 for me…","23 Jul 2023",5
"Frog_jewls","I'll be honest...","23 Jul 2023",5
"Lucinda Garza","when they announced Barbie I was excited since Barbie was a huge part of my childhood, so when I saw the trailers and promos It got me hyped as everyone did. But with whole honesty I expected it to be mediocre at best and plain out awful at worst","22 Jul 2023",5
"Jordan","But Greta Gerwig gave me a curled ball because I honestly really enjoyed it, it was self-aware of how ridiculous the concert was but it owned it, I…","21 Jul 2023",4
"Asatoyoru","OBVIAMENTE estoy súper biased, pero también es objetivamente cierto que esa película es una genialidad.","24 Jul 2023",4
"topriott","Greta Gerwig y su equipo construyeron el mundo de Barbie con muchas capas y complejidades, hizo un obra tan multidimensional como lo son las mujeres de verdad.","23 Jul 2023",4
"Justin Cassidy","Y me reí, y lloré, y me reí, y lloré... Recordé mi infancia, me emocioné por la ropa, pensé mucho en mi mamá, aprecié las referencias, reflexioné sobre la mujer que soy ahora... tengo que ir a volverla a ver.","23 Jul 2023",5
"Steven Brennan","(Te quiero mucho, Greta Gerwig, gracias por hacer películas que me acompañan en la womanhood).","23 Jul 2023",4
"Stasia","watched the movie twice at the theater in the same day and i'm not sure how i handled that psychological level of oddity twice. in a theater. running on like, 2 hours of sleep.","23 Jul 2023",3
"audevn","anyways the beginning is strange and the rest is even stranger, rlly didn't expect most of what happened,, Allan is a real one tho we love Allan in this household, also loved all the recalled Barbies being in the movie that was funny","23 Jul 2023",5
"sara","overall it was…","23 Jul 2023",5
"Ashley Joyce","「妳很美」「我知道」 葛莉塔潔薇選擇以最直接、甚至二元的方式切入性別議題，呈現男女處境顛倒的芭比樂園/現實世界，在戳破粉色泡影後的女性（還有肯尼）自我賦權。芭比不再只是金髮碧眼的九頭身美女，可以是總統、醫生、家庭主婦、或大腿上長橘皮的普通人。雖說清楚明瞭這項議題的重要性，以及如何以此翻新「芭比」這個玩具的時代意義，但電影後半對我而言還是偏功能性，服務議題的痕跡稍嫌生硬，尤其一些演說橋段有點覺得說教感稍重（這種演講在《她們》時葛莉塔就用過，那時我就不太買單） 不過，電影裡的美術實在迷人，夢幻的芭比換裝秀和芭比樂園的設計都很好看，而且看喜歡、眼熟的演員們一起演這種怪片怪角色真的很可愛，笑點拋出的時間、內容也掌握的挺好（愛死photoshop那個） 結局原以為是類似《玩具總動員4》的胡迪一樣，芭比找到自己新的世界和新的意義，可這樣的收束卻讓我感到有點莫名，原以為會解釋芭比的自我賦權會是超脫性別的成長，卻又轉個彎回到女性的概念實在有點可惜。可見《芭比》雖有瑕疵，但不妨礙大家對這部片的喜愛（包含我），相信他的出現會是對女性的鼓舞，也想起小時候我也有過被畫了妝、總愛劈腿的芭比。 —mur—1.芭比ㄉ愛心是粉紅色 可愛死2.跟朋友全身粉 路人：這一看就是去看芭比的3.前面有人滑手機螢幕還超亮 this Barbie is angry 4.那麼 哪裡買得到憂鬱芭比呢？","22 Jul 2023",5
"Pat Rivers","Ryan gosling so silly","23 Jul 2023",5
"Frog_jewls","This review may contain spoilers. I can handle the truth.","23 Jul 2023",4
"Lucinda Garza","8.8From seeing opening reviews I knew this was going to be good, but I wasn’t expecting to like it as much as I did. I thought this was actually really funny, porbably the funniest movie this year so far. I would agree with others that Ryan Gosling absolutely stole the show. He was hilarious in pretty much every single scene hes in. Bro that scene of him singing to Barbie by the campfire had me in actual tears. Obviously…","22 Jul 2023",4
"Jordan","Gerwig hits it out of the park. Truly one for the ages.","21 Jul 2023",4
"markyama","It was a beautiful moment to see a sold out theatre of teenage girls explode with laughter at a 2001: A Space Odyssey reference","23 Jul 2023",3
"UncleBen23","Hot take given the context, but from purely a performance POV, Gosling stole the show for me. His comedic sensibilities are so well tuned. Overall though, this was wonderful.","23 Jul 2023",4
"Jas Taylor","The pride and prejudice reference was too much of a call out. Simped over Ncuti and Emma the entire time, cried a few times, got lost in the campness and thoroughly enjoyed the soundtrack, Ty Charli 💕","23 Jul 2023",4
"petrimovie","🐎quiero ser sylvester stallone🐎","23 Jul 2023",4
"nj4318a","A delightfully weird, proudly feminist film that will make you laugh and make you think, while also occasionally mercilessly beating you over the head with its message. It is a genuine triumph that a movie this weird about a doll works at all.","23 Jul 2023",4
"emerygomez","SUBLIME!","22 Jul 2023",5
"eresnik1","Beside the script being a bit clunky and some of the dialogue being a little too direct and on the nose, Barbie was funny and refreshing. Ryan Gosling is one of most underrated comedy actors. Would have loved if Michael Cera had more screen time.","23 Jul 2023",4
"hluazen","SHES EVERYTHING","23 Jul 2023",5
"raissacampos","simplesmente melhor filme do ano, sentimento de nostalgia e identificação total, obrigada queen greta por nos entregar tanto! ps.: homens não saberiam dizer o mesmo and that's a pity for them","20 Jul 2023",5
"paulerwaller","Now I am become BARBIE destroyer of GIRL","23 Jul 2023",4
"Bob003","FASCISTA","23 Jul 2023",4
"rishirajdas","Can I move to Barbieland?","23 Jul 2023",4
"rishirajdas","Can I move to Barbieland?","23 Jul 2023",4
"kayleemercado","Was it a perfect film? No. Was it a fun time? Absolutely! Margo Robbie and Ryan Gosling are just wonderful together. Aesthetically it looks wonderful. The story was actually a lot deeper than I thought. My cheeks actually hurt from smiling and laughing so much. A must see!","23 Jul 2023",4
